Item Name,  Cost   ,  Selling Price  ,  Profit   ,Margin
1 lb. Coffee,$9.70 ,$13.95 ,$4.25 ,30%
Almond Joy (L),$1.27 ,$2.92 ,$1.65 ,57%
Almond Joy (S),$0.98 ,$2.45 ,$1.47 ,60%
Americano,$0.42 ,$1.25 ,$0.83 ,67%
Apple Cider (L),$0.57 ,$2.00 ,$1.43 ,71%
Apple Cider (S),$0.48 ,$1.50 ,$1.02 ,68%
Apple Pie Chai (L),$1.66 ,$3.25 ,$1.59 ,49%
Apple Pie Chai (S),$1.16 ,$2.75 ,$1.59 ,49%
Arjana Smoothie,$2.68 ,$4.00 ,$1.32 ,33%
Bagel,$0.90 ,$2.00 ,$1.43 ,71%
BagelCombo(BagelandSmallHotDrink),$1.72 ,$3.00 ,$1.28 ,43%
Combo,$1.72 ,$3.00 ,$1.28 ,43%
Baked Oatmeal,$1.91 ,$2.25 ,$0.34 ,15%
Black Eye (L),$0.97 ,$2.25 ,$0.34 ,15%
Black Eye (S),$0.88 ,$1.75 ,$0.87 ,50%
Bottled Soda,$0.93 ,$1.89 ,$0.96 ,51%
Bottled Water,$0.11 ,$1.00 ,$0.89 ,89%
Breakfast bisquit,$1.15 ,$2.50 ,$1.35 ,54%
Breakfast Scone,$0.99 ,$2.50 ,$1.35 ,54%
Brazilian Truffle - Brigadeiro,$0.85 ,$1.25 ,$0.83 ,67%
Brownie (any kind),$0.99 ,$2.50 ,$1.35 ,54%
Burrito,$1.00 ,$2.00 ,$1.43 ,71%
Butter Beer,$1.13 ,$4.00 ,$1.32 ,33%
Cafe Au Lait (L),$0.69 ,$2.00 ,$1.43 ,71%
Cafe Au Lait (S),$0.59 ,$1.75 ,$0.87 ,50%
Cafe Royal (S),$1.00 ,$2.00 ,$1.43 ,71%
Cafe Royal (L),$1.25 ,$3.07 ,$1.82 ,59%
Cappuccino (L),$0.76 ,$2.50 ,$1.35 ,54%
Cappuccino (S),$0.69 ,$2.00 ,$1.43 ,71%
Caramacchino,$1.52 ,$3.25 ,$1.59 ,49%
Caramel Nut Latte (L),$1.31 ,$3.00 ,$1.28 ,43%
Caramel Nut Latte (S),$1.10 ,$2.50 ,$1.35 ,54%
Chai (L),$1.69 ,$2.75 ,$1.59 ,49%
Chai (S),$1.32 ,$2.50 ,$1.35 ,54%
Chai Milkshake (L),$2.24 ,$4.00 ,$1.32 ,33%
Chai Milkshake (S),$1.74 ,$3.50 ,$1.76 ,44%
Chocolate Chip Cookies,$0.49 ,$1.00 ,$0.89 ,89%
Chocolate Milkshake (L),$2.01 ,$4.00 ,$1.32 ,33%
Chocolate Milkshake (S),$1.64 ,$3.50 ,$1.76 ,44%
Christmas in a Cup (L),$1.54 ,$3.25 ,$1.59 ,49%
Christmas in a Cup (S),$1.52 ,$3.25 ,$1.59 ,49%
Cinnamon Roll,$1.19 ,$3.00 ,$1.28 ,43%
Cloud '15,$1.45 ,$3.25 ,$1.59 ,49%
Coca Nut (L),$1.31 ,$3.00 ,$1.28 ,43%
Coca Nut (S),$1.10 ,$2.50 ,$1.35 ,54%
Coconutty (L),$1.22 ,$2.75 ,$1.59 ,49%
Coconutty (S),$0.85 ,$1.25 ,$0.83 ,67%
Coffee (L),$0.57 ,$2.00 ,$1.43 ,71%
Coffee (S),$0.48 ,$1.50 ,$1.02 ,68%
Cookie,$1.13 ,$4.00 ,$1.32 ,33%
Cookies n' Cream Milkshake (L),$1.65 ,$4.00 ,$1.32 ,33%
